event_id,user_id,event_type,timestamp,schema_version,amount,currency,tax,page,refers_to_event_id,acquisition_channel
e7978,u0458,login,2026-01-17T14:57:08Z,2,,,,,,
e2734,u0019,login,2026-01-06 23:49:57,2,,,,,,
e6712,u0127,purchase,2026-01-14T17:45:00Z,2,9.99,EUR,0.5,,,
e7071,u0349,page_view,2026-01-15T17:37:08Z,2,,,,/home,,
e11844,u0171,login,2026-01-26T14:29:11Z,2,,,,,,
e3996,u0107,login,2026-01-09T14:11:30Z,2,,,,,,
e9615,u0050,login,2026-01-21T11:15:08Z,1,,,,,,
e5738,u0323,page_view,2026-01-12T10:13:33Z,2,,,,/dashboard,,
e7016,u0029,login,2026-01-15T17:47:47Z,2,,,,,,
e14022,u0225,page_view,2026-01-30T10:39:06Z,2,,,,/home,,
e6004,u0357,login,2026-01-13 09:45:17,2,,,,,,
e7933,u0219,login,2026-01-17T23:18:02Z,2,,,,,,
e13320,u0409,login,2026-01-29T10:59:45Z,2,,,,,,
e1947,u0103,login,2026-01-05T01:04:24Z,2,,,,,,
e12600,u0142,login,2026-01-28 06:29:27,2,,,,,,
e12907,u0245,login,2026-01-28T11:43:47Z,2,,,,,,
e6396,u0087,login,2026-01-14T15:47:15Z,1,,,,,,
e5308,u0111,purchase,2026-01-12T05:07:00Z,2,9.99,NGN,,,,
e7122,u0171,login,2026-01-15 10:15:17,2,,,,,,
e310,u0362,purchase,2026-01-01T19:53:00Z,1,49.99,,,,,
e5117,u0169,login,2026-01-11T06:01:32Z,2,,,,,,
e6772,u0307,login,2026-01-15T17:48:36Z,2,,,,,,
e8739,u0032,page_view,2026-01-18T05:03:05Z,2,,,,/dashboard,,
e4367,u0010,login,2026-01-10T11:59:40Z,2,,,,,,
e11066,u0433,login,2026-01-24T11:34:34Z,1,,,,,,
e2285,u0444,login,2026-01-06T07:40:08Z,2,,,,,,
e6512,u0428,page_view,2026-01-14T10:48:03Z,2,,,,/settings,,
e16,u0128,login,2026-01-01 12:49:35,2,,,,,,
e15,u0128,login,2026-01-01T23:20:38Z,2,,,,,,
e7414,u0316,login,2026-01-16 20:28:36,1,,,,,,
e2775,u0141,login,2026-01-06T16:51:10Z,1,,,,,,
e12315,u0333,login,2026-01-27T09:49:12Z,2,,,,,,
e11127,u0029,login,2026-01-24T04:28:46Z,1,,,,,,
e8839,u0067,page_view,2026-01-18T16:16:37Z,2,,,,/settings,,
e11273,u0423,login,2026-01-25T00:13:26Z,2,,,,,,
e9183,u0447,login,2026-01-19 07:37:06,2,,,,,,
e10329,u0355,login,2026-01-23T18:54:29Z,2,,,,,,
e3479,u0313,login,2026-01-08T19:04:50Z,1,,,,,,
e13752,u0334,page_view,2026-01-30T12:07:21Z,2,,,,/home,,
e12152,u0277,login,2026-01-27T16:04:46Z,2,,,,,,
e6611,u0041,login,2026-01-14 07:33:02,2,,,,,,
e4545,u0390,page_view,2026-01-10T15:05:54Z,2,,,,/settings,,
e12143,u0477,page_view,2026-01-27T03:13:27Z,2,,,,/checkout,,
e11533,u0208,login,2026-01-25T04:51:56Z,2,,,,,,
e2383,u0326,login,2026-01-06T17:43:25Z,1,,,,,,
e10958,u0035,login,2026-01-24T23:42:18Z,2,,,,,,
e4040,u0468,login,2026-01-09T19:37:15Z,2,,,,,,
e3798,u0412,login,2026-01-08T21:18:26Z,2,,,,,,
e4651,u0330,login,2026-01-10T00:40:04Z,1,,,,,,
e4795,u0237,login,2026-01-10 14:13:36,2,,,,,,
e8755,u0122,page_view,2026-01-18T09:26:44Z,2,,,,/dashboard,,
e12423,u0037,login,2026-01-27T21:15:41Z,2,,,,,,
e68,u0166,login,2026-01-01T03:08:11Z,2,,,,,,
e7178,u0103,login,2026-01-15T06:10:27Z,2,,,,,,
e9155,u0160,login,2026-01-19T02:20:27Z,2,,,,,,
e730,u0128,login,2026-01-02T04:58:12Z,2,,,,,,
e5116,u0169,login,2026-01-11T20:24:48Z,2,,,,,,
e5612,u0180,login,2026-01-12T10:20:37Z,2,,,,,,
e3659,u0066,login,2026-01-08T04:14:41Z,2,,,,,,
e10721,u0404,login,2026-01-24T04:17:06Z,2,,,,,,
e2124,u0170,login,2026-01-05T01:46:11Z,1,,,,,,
e9819,u0414,login,2026-01-21T00:14:30Z,1,,,,,,
e10862,u0460,login,2026-01-24T11:04:32Z,2,,,,,,
e12880,u0076,login,2026-01-28T01:19:52Z,2,,,,,,
e12594,u0454,login,2026-01-28T08:51:33Z,2,,,,,,
e5454,u0500,login,2026-01-12T08:52:29Z,1,,,,,,
e281,u0011,login,2026-01-01T17:45:04Z,2,,,,,,
e1386,u0184,login,2026-01-04T09:24:43Z,1,,,,,,
e763,u0262,page_view,2026-01-02T21:12:00Z,2,,,,/dashboard,,
e4051,u0390,login,2026-01-09T01:22:43Z,1,,,,,,
e5158,u0050,login,2026-01-11T15:55:58Z,2,,,,,,
e5366,u0350,login,2026-01-12T03:25:23Z,2,,,,,,
e10100,u0401,login,2026-01-22T23:34:06Z,2,,,,,,
e14043,u0223,page_view,2026-01-30T17:43:03Z,2,,,,/home,,
e9210,u0209,login,2026-01-19T21:25:14Z,2,,,,,,
e5052,u0143,login,2026-01-11T04:40:04Z,2,,,,,,
e5831,u0293,login,2026-01-13T03:22:56Z,2,,,,,,
e8068,u0472,login,2026-01-17T07:01:09Z,1,,,,,,
e10694,u0097,login,2026-01-24 17:21:27,2,,,,,,
e7750,u0235,login,2026-01-16T07:55:28Z,2,,,,,,
e13751,u0334,login,2026-01-30T16:27:09Z,2,,,,,,
e11647,u0323,login,2026-01-26T17:40:15Z,2,,,,,,
e14074,u0038,login,2026-01-30T21:52:34Z,2,,,,,,
e13027,u0191,login,2026-01-28T20:34:43Z,2,,,,,,
e6464,u0321,login,2026-01-14T22:14:08Z,2,,,,,,
e4452,u0037,login,2026-01-10T03:21:55Z,2,,,,,,
e4999,u0431,login,2026-01-11 05:39:57,2,,,,,,
e13655,u0322,page_view,2026-01-30T11:02:07Z,2,,,,/home,,
e161,u0005,login,2026-01-01T18:50:58Z,2,,,,,,
e6810,u0445,login,2026-01-15T16:59:21Z,2,,,,,,
e10531,u0483,login,2026-01-23T07:38:05Z,2,,,,,,
e7837,u0157,login,2026-01-17T15:18:04Z,2,,,,,,
e3335,u0274,login,2026-01-07T18:37:35Z,1,,,,,,
e1701,u0346,login,2026-01-04T10:03:07Z,2,,,,,,
e11482,u0023,login,2026-01-25T04:29:26Z,2,,,,,,
e7425,u0013,login,2026-01-16T21:53:50Z,1,,,,,,
e4402,u0401,login,2026-01-10T10:24:44Z,2,,,,,,
e1484,u0056,page_view,2026-01-04T17:15:21Z,2,,,,/dashboard,,
e9722,u0372,login,2026-01-21T21:02:28Z,2,,,,,,
e10905,u0106,login,2026-01-24T19:01:31Z,2,,,,,,
e6990,u0494,page_view,2026-01-15T08:20:12Z,2,,,,/pricing,,
e8115,u0126,login,2026-01-17T06:27:52Z,2,,,,,,
e12873,u0153,login,2026-01-28T12:04:05Z,2,,,,,,
e3101,u0120,page_view,2026-01-07T17:51:04Z,2,,,,/settings,,
e1980,u0412,login,2026-01-05T07:14:52Z,2,,,,,,
e11320,u0383,login,2026-01-25T17:27:00Z,2,,,,,,
e3841,u0284,login,2026-01-08T17:51:41Z,1,,,,,,
e6479,u0159,login,2026-01-14T14:11:33Z,2,,,,,,
e262,u0418,login,2026-01-01T09:38:10Z,2,,,,,,
e6850,u0489,login,2026-01-15T17:58:35Z,2,,,,,,
e440,u0255,login,2026-01-01T20:14:58Z,2,,,,,,
e3621,u0256,login,2026-01-08 06:33:26,2,,,,,,
e13146,u0047,login,2026-01-29T19:49:50Z,1,,,,,,
e9473,u0097,login,2026-01-20T10:40:33Z,1,,,,,,
e12408,u0122,page_view,2026-01-27T00:12:07Z,2,,,,/pricing,,
e11438,u0458,login,2026-01-25 00:44:46,2,,,,,,
e7729,u0093,login,2026-01-16 01:04:56,2,,,,,,
e8538,u0492,login,2026-01-18T06:06:29Z,1,,,,,,
e5590,u0262,login,2026-01-12T09:28:33Z,2,,,,,,
e13948,u0144,login,2026-01-30T16:01:23Z,2,,,,,,
e14062,u0067,login,2026-01-30T05:54:20Z,2,,,,,,
e4067,u0014,login,2026-01-09T04:20:21Z,2,,,,,,
e13098,u0425,login,2026-01-29T15:52:02Z,2,,,,,,
e11853,u0436,page_view,2026-01-26T05:58:55Z,2,,,,/home,,
e8605,u0500,login,2026-01-18T02:50:47Z,2,,,,,,
e1525,u0358,login,2026-01-04T12:36:18Z,2,,,,,,
e13424,u0460,login,2026-01-29T23:04:19Z,1,,,,,,
e3663,u0119,login,2026-01-08T20:40:28Z,2,,,,,,
e3840,u0284,login,2026-01-08T21:55:00Z,2,,,,,,
e1464,u0021,login,2026-01-04 12:00:42,2,,,,,,
e12248,u0384,login,2026-01-27T21:28:19Z,1,,,,,,
e5705,u0222,login,2026-01-12T20:35:19Z,1,,,,,,
e714,u0245,login,2026-01-02T14:47:56Z,2,,,,,,
e5067,u0051,login,2026-01-11 04:50:28,2,,,,,,
e12734,u0483,page_view,2026-01-28T08:43:35Z,2,,,,/home,,
e4980,u0213,page_view,2026-01-11T10:12:55Z,2,,,,/settings,,
e8063,u0033,page_view,2026-01-17T09:45:09Z,2,,,,/home,,
e2312,u0059,login,2026-01-06 14:17:19,1,,,,,,
e13067,u0007,login,2026-01-29T14:54:53Z,2,,,,,,
e13612,u0408,login,2026-01-30 11:58:39,1,,,,,,
e3787,u0409,login,2026-01-08T05:23:50Z,2,,,,,,
e1697,u0145,login,2026-01-04T20:03:25Z,2,,,,,,
e12488,u0416,purchase,2026-01-27T05:30:00Z,2,99.0,USD,0.0,,,
e5884,u0044,login,2026-01-13T16:03:44Z,2,,,,,,
e7068,u0349,login,2026-01-15T03:53:12Z,1,,,,,,
e9756,u0123,page_view,2026-01-21T08:35:59Z,2,,,,/settings,,
e8482,u0352,login,2026-01-18T05:43:25Z,1,,,,,,
e4326,u0350,page_view,2026-01-10T06:56:05Z,2,,,,/checkout,,
e147,u0300,login,2026-01-01T14:31:01Z,1,,,,,,
e5173,u0438,login,2026-01-11T08:06:25Z,2,,,,,,
e4137,u0263,login,2026-01-09 13:47:31,2,,,,,,
e7842,u0136,login,2026-01-17T12:03:27Z,2,,,,,,
e12951,u0495,login,2026-01-28T16:06:13Z,2,,,,,,
e667,u0347,login,2026-01-02T12:18:13Z,2,,,,,,
e1910,u0337,purchase,2026-01-05T02:17:00Z,1,49.99,,,,,
e6786,u0245,login,2026-01-15 15:12:29,2,,,,,,
e12320,u0107,login,2026-01-27 14:50:34,1,,,,,,
e3778,u0006,login,2026-01-08T21:18:21Z,2,,,,,,
e4329,u0105,login,2026-01-10T14:19:55Z,1,,,,,,
e11998,u0079,login,2026-01-26T21:31:24Z,2,,,,,,
e11660,u0235,login,2026-01-26T09:16:14Z,2,,,,,,
e8537,u0492,login,2026-01-18 21:36:01,2,,,,,,
e9399,u0061,login,2026-01-20T00:40:35Z,1,,,,,,
e3467,u0475,login,2026-01-08 09:15:50,2,,,,,,
e12131,u0336,page_view,2026-01-27T04:44:39Z,2,,,,/checkout,,
e1107,u0322,login,2026-01-03T22:27:23Z,1,,,,,,
